SimNum,Stage,Scenario,Model,Cost
1,1,5.0,Expected,0.4
1,2,3.0,Expected,0.2
1,3,5.0,Expected,0.4
1,4,5.0,Expected,0.4
1,5,4.0,Expected,0.30000000000000004
1,6,5.0,Expected,0.1
1,7,5.0,Expected,0.1
1,8,4.0,Expected,0.0
1,9,2.0,Expected,0.2
1,10,2.0,Expected,0.2
1,11,4.0,Expected,0.1
1,12,4.0,Expected,0.1
1,13,5.0,Expected,0.2
1,14,3.0,Expected,0.0
1,15,2.0,Expected,0.2
1,16,5.0,Expected,0.2
1,17,5.0,Expected,0.0
1,18,3.0,Expected,1.0
1,19,5.0,Expected,0.0
1,20,3.0,Expected,0.0
1,21,4.0,Expected,0.1
1,22,5.0,Expected,0.2
1,23,5.0,Expected,0.2
1,24,5.0,Expected,0.2
2,1,4.0,Expected,0.30000000000000004
2,2,4.0,Expected,0.30000000000000004
2,3,5.0,Expected,0.4
2,4,5.0,Expected,0.4
2,5,5.0,Expected,0.4
2,6,2.0,Expected,0.4
2,7,5.0,Expected,0.1
2,8,4.0,Expected,0.0
2,9,5.0,Expected,0.2
2,10,5.0,Expected,0.2
2,11,3.0,Expected,0.0
2,12,5.0,Expected,0.2
2,13,2.0,Expected,0.2
2,14,3.0,Expected,0.0
2,15,5.0,Expected,0.2
2,16,2.0,Expected,0.2
2,17,3.0,Expected,0.8
2,18,2.0,Expected,1.5
2,19,2.0,Expected,1.7999999999999998
2,20,2.0,Expected,0.5
2,21,3.0,Expected,0.0
2,22,3.0,Expected,0.0
2,23,3.0,Expected,0.0
2,24,4.0,Expected,0.1
3,1,3.0,Expected,0.2
3,2,3.0,Expected,0.2
3,3,4.0,Expected,0.30000000000000004
3,4,5.0,Expected,0.4
3,5,2.0,Expected,0.1
3,6,5.0,Expected,0.1
3,7,5.0,Expected,0.1
3,8,2.0,Expected,0.6
3,9,4.0,Expected,0.1
3,10,3.0,Expected,0.0
3,11,5.0,Expected,0.2
3,12,4.0,Expected,0.1
3,13,5.0,Expected,0.2
3,14,2.0,Expected,0.2
3,15,4.0,Expected,0.1
3,16,2.0,Expected,0.2
3,17,3.0,Expected,0.8
3,18,4.0,Expected,0.5
3,19,5.0,Expected,0.0
3,20,3.0,Expected,0.0
3,21,4.0,Expected,0.1
3,22,4.0,Expected,0.1
3,23,3.0,Expected,0.0
3,24,5.0,Expected,0.2
4,1,2.0,Expected,0.1
4,2,3.0,Expected,0.2
4,3,3.0,Expected,0.2
4,4,4.0,Expected,0.30000000000000004
4,5,3.0,Expected,0.2
4,6,2.0,Expected,0.4
4,7,4.0,Expected,0.0
4,8,4.0,Expected,0.0
4,9,2.0,Expected,0.2
4,10,3.0,Expected,0.0
4,11,4.0,Expected,0.1
4,12,4.0,Expected,0.1
4,13,2.0,Expected,0.2
4,14,5.0,Expected,0.2
4,15,2.0,Expected,0.2
4,16,3.0,Expected,0.0
4,17,2.0,Expected,1.2000000000000002
4,18,5.0,Expected,0.0
4,19,4.0,Expected,0.6
4,20,3.0,Expected,0.0
4,21,5.0,Expected,0.2
4,22,4.0,Expected,0.1
4,23,4.0,Expected,0.1
4,24,2.0,Expected,0.3
5,1,2.0,Expected,0.1
5,2,3.0,Expected,0.2
5,3,3.0,Expected,0.2
5,4,4.0,Expected,0.30000000000000004
5,5,2.0,Expected,0.1
5,6,4.0,Expected,0.0
5,7,3.0,Expected,0.4
5,8,5.0,Expected,0.1
5,9,2.0,Expected,0.2
5,10,3.0,Expected,0.0
5,11,4.0,Expected,0.1
5,12,4.0,Expected,0.1
5,13,2.0,Expected,0.2
5,14,5.0,Expected,0.2
5,15,4.0,Expected,0.1
5,16,5.0,Expected,0.2
5,17,4.0,Expected,0.4
5,18,2.0,Expected,1.5
5,19,2.0,Expected,1.7999999999999998
5,20,2.0,Expected,0.5
5,21,3.0,Expected,0.0
5,22,5.0,Expected,0.2
5,23,2.0,Expected,0.3
5,24,4.0,Expected,0.1
6,1,3.0,Expected,0.2
6,2,2.0,Expected,0.1
6,3,3.0,Expected,0.2
6,4,4.0,Expected,0.30000000000000004
6,5,3.0,Expected,0.2
6,6,5.0,Expected,0.1
6,7,2.0,Expected,0.8
6,8,3.0,Expected,0.3
6,9,2.0,Expected,0.2
6,10,5.0,Expected,0.2
6,11,2.0,Expected,0.3
6,12,2.0,Expected,0.3
6,13,4.0,Expected,0.1
6,14,5.0,Expected,0.2
6,15,3.0,Expected,0.0
6,16,4.0,Expected,0.1
6,17,2.0,Expected,1.2000000000000002
6,18,2.0,Expected,1.5
6,19,4.0,Expected,0.6
6,20,5.0,Expected,0.2
6,21,4.0,Expected,0.1
6,22,4.0,Expected,0.1
6,23,4.0,Expected,0.1
6,24,5.0,Expected,0.2
7,1,4.0,Expected,0.30000000000000004
7,2,4.0,Expected,0.30000000000000004
7,3,2.0,Expected,0.1
7,4,5.0,Expected,0.4
7,5,4.0,Expected,0.30000000000000004
7,6,2.0,Expected,0.4
7,7,3.0,Expected,0.4
7,8,5.0,Expected,0.1
7,9,3.0,Expected,0.0
7,10,2.0,Expected,0.2
7,11,5.0,Expected,0.2
7,12,2.0,Expected,0.3
7,13,2.0,Expected,0.2
7,14,5.0,Expected,0.2
7,15,4.0,Expected,0.1
7,16,5.0,Expected,0.2
